id,review,sentiment,review_length,word_count
0,Brilliant from start to finish. The pacing was perfect.,positive,55,9
1,Not particularly memorable but not offensive either.,neutral,52,7
2,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
3,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
4,I was bored within the first 10 minutes. It never got better.,negative,61,12
5,Cheap and nasty. Looks terrible in real life.,negative,45,8
6,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
7,"It was an average film. Some parts were good, others less so.",neutral,61,12
8,Returned immediately. Complete waste of money.,negative,46,6
9,Returned immediately. Complete waste of money.,negative,46,6
10,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
11,Outstanding customer service and a top-quality product.,positive,55,7
12,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
13,Best purchase I have made this year. Highly recommend.,positive,54,9
14,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
15,Average all round. A solid three-star experience.,neutral,49,7
16,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
17,Functional and affordable. That is about all there is to say.,neutral,61,11
18,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
19,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
20,Five stars all round. Fast shipping and perfect condition.,positive,58,9
21,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
22,Average experience. Would not go out of my way to recommend.,neutral,60,11
23,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
24,Average experience. Would not go out of my way to recommend.,neutral,60,11
25,Poorly written and badly directed. A total mess.,negative,48,8
26,Absolute rubbish. Stopped working after one week.,negative,49,7
27,"The movie was okay. Not great, but not terrible either.",neutral,55,10
28,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
29,The acting was okay. The story was reasonably entertaining.,neutral,59,9
30,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
31,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
32,I want my money back. This movie was absolutely dreadful.,negative,57,10
33,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
34,Average experience. Would not go out of my way to recommend.,neutral,60,11
35,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
36,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
37,Brilliant product. Does exactly what it says on the tin.,positive,56,10
38,Some good moments but overall just average.,neutral,43,7
39,Not bad for the money. Neutral experience overall.,neutral,50,8
40,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
41,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
42,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
43,Appalling quality control. Would not recommend to anyone.,negative,57,8
44,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
45,Completely useless. Does not work as advertised. Avoid.,negative,55,8
46,"Gets the job done. No more, no less.",neutral,36,8
47,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
48,It was watchable but I probably would not recommend it strongly.,neutral,64,11
49,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
50,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
51,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
52,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
53,"Gets the job done. No more, no less.",neutral,36,8
54,Average all round. A solid three-star experience.,neutral,49,7
55,"It was an average film. Some parts were good, others less so.",neutral,61,12
56,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
57,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
58,"The movie was okay. Not great, but not terrible either.",neutral,55,10
59,The film had potential but did not fully deliver on its promise.,neutral,64,12
60,It is fine. Arrived on time and works as expected.,neutral,50,10
61,The acting was okay. The story was reasonably entertaining.,neutral,59,9
